Cong ID,Congregation Name,Number of Youth Male,Number of Youth Female,Number of Youth Nonbinary,Number of Youth Gender Non-Conforming,Number of Adult Male,Number of Adult Female,Number of Adult Nonbinary,Number of Adult Gender Non-Conforming,Number of MYLE participants,Number of the tAble participants,Doubles Requested,Kings Requested,Priority Incentive,Hotel Price Range,Hotel Location
7723,New Hope Lutheran Church,3,,,,1,1,,,,,3,,Hotel location,$151-165 + tax,French Quarter
30485,New Joy Lutheran Church,3,6,,,1,2,,,,,,,,,
14216,New Life Lutheran Church,4,2,,,1,1,,,,,3,,Hotel location,$151-165 + tax,Downtown
30299,New Promise Lutheran Church,4,3,,1,1,2,,,,,4,,Hotel location,$151-165 + tax,Downtown
14835,Norway Evangelical Lutheran Church,1,4,,,1,2,,,,,4,,Accompaniment experience,$166-185 + tax,French Quarter
11847,Oak Knoll Lutheran Church,5,4,,,1,2,,,,,5,,Accompaniment experience,$140-150 + tax,Superdome
12750,Oak Valley Lutheran Church,11,9,,,2,2,,,,,7,,Hotel location,$151-165 + tax,Superdome
10425,Old St Paul Lutheran Church,2,1,,,1,,,,,,,3,Hotel location,$166-185 + tax,French Quarter
4719,Olivet Lutheran Church,1,7,,,,3,,,,,2,2,Hotel location,$166-185 + tax,Downtown
14143,Oslo Lutheran Church,2,4,,,1,2,,,,,,,,,
3064,Our Redeemer Lutheran Church,1,4,,,,2,,,,,2,1,Hotel price,$140-150 + tax,Downtown
20219,Our Redeemer Lutheran Church,7,2,,,2,1,,,,,4,1,Hotel location,$166-185 + tax,Downtown
12001,Our Redeemer Lutheran Church,6,7,,,2,3,,,,,6,,Hotel location,$151-165 + tax,Downtown
12383,Our Savior Lutheran Church,23,24,,,2,3,,,,,,,,,
14820,Our Savior Lutheran Church,4,,,,1,1,,,4,,,,,,
14843,Our Savior Lutheran Church,2,1,,,2,1,,,,,,,Accompaniment experience,,
13567,Our Savior Lutheran Church,,3,,,,1,,,,,1,1,Hotel location,$151-165 + tax,Downtown
5900,Our Savior Lutheran Church,2,2,,,1,1,,,,,2,,Hotel location,$166-185 + tax,Downtown
14701,Our Savior Lutheran Church,1,,,1,1,1,,,,,2,,Hotel location,$166-185 + tax,French Quarter
14308,Our Savior Lutheran Church,2,3,,,,2,,,,,2,1,Hotel location,$166-185 + tax,Downtown
12850,Our Savior Lutheran Church,3,3,,1,2,1,,,,,2,2,Accompaniment experience,$140-150 + tax,Downtown
10374,Our Savior Lutheran Church,1,2,,,2,2,,,,,2,2,Hotel location,$166-185 + tax,French Quarter
12296,Our Savior Lutheran Church,3,2,,,,2,,,,,3,,Hotel location,$151-165 + tax,Downtown
14616,Our Savior Lutheran Church,2,4,,,1,2,,,,,3,,Hotel location,$166-185 + tax,French Quarter
13742,Our Savior Lutheran Church,8,4,,,1,1,,,,,3,1,Hotel location,$151-165 + tax,Convention Center
11440,Our Savior Lutheran Church,5,6,,,1,2,,,,,3,2,Hotel location,$151-165 + tax,Downtown
14680,Our Savior Lutheran Church,2,6,,,1,3,,,,,3,3,Accompaniment experience,$166-185 + tax,Convention Center
12420,Our Savior Lutheran Church,2,8,,,1,3,,,,,5,,Hotel location,$140-150 + tax,French Quarter
12157,Our Savior Lutheran Church,6,12,,,2,4,,,,,5,4,Accompaniment experience,$151-165 + tax,Downtown
11905,Our Savior Lutheran Church,1,10,,,1,3,,,,,6,,Hotel location,$140-150 + tax,Downtown
11890,Our Savior Lutheran Church,8,11,,,2,3,,,,,7,,Hotel location,$151-165 + tax,Downtown
11756,Our Savior Lutheran Church,2,14,,1,,3,,,,,8,,Hotel price,$151-165 + tax,Downtown
12170,Our Savior Lutheran Church,8,15,,,1,4,,,,,9,,Hotel location,$166-185 + tax,Convention Center
14474,Our Saviors Lutheran Church,4,6,,,1,2,,,,,3,2,Hotel location,$151-165 + tax,Convention Center
13740,Our Savior's Lutheran Church,1,3,,,,2,,,,,2,,Hotel location,$166-185 + tax,Downtown
11950,Our Savior's Lutheran Church,3,3,,,,2,,,,,2,2,Accompaniment experience,$151-165 + tax,Downtown
14436,Our Savior's Lutheran Church,3,2,,,1,2,,,,,2,2,Hotel location,$166-185 + tax,Downtown
11121,Our Savior's Lutheran Church,2,1,,,2,1,,,,2,3,,Accompaniment experience,$151-165 + tax,Superdome
11621,Our Savior's Lutheran Church,2,5,,,1,2,,,,,3,,Hotel location,$140-150 + tax,Downtown
11712,Our Savior's Lutheran Church,1,6,,,1,2,,,,,3,1,Hotel price,$151-165 + tax,Convention Center
13721,Our Savior's Lutheran Church,3,6,,,,2,,,,,4,,Hotel location,$166-185 + tax,Superdome
14491,Our Savior's Lutheran Church,3,9,,,2,5,,,,,6,,Accompaniment experience,$166-185 + tax,Downtown
10778,Our Savior's Lutheran Church,6,5,,,2,2,,,,,6,,Hotel location,$151-165 + tax,Downtown
11593,Our Savior's Lutheran Church,3,13,,,1,3,,,,,6,1,Accompaniment experience,$166-185 + tax,French Quarter
11733,Our Savior's Lutheran Church Of Circle Pines,6,14,,,4,,,,,,6,1,Hotel price,$140-150 + tax,Downtown
5486,Our Saviour Lutheran Church,3,5,,,1,1,,,,,,,,,
7690,Our Saviour Lutheran Church,,,,2,,2,,,,,,,,,
3037,Our Saviour Lutheran Church,,9,,,,4,,,,,3,,Hotel location,$151-165 + tax,Downtown
10997,Our Saviour Lutheran Church,2,5,,,1,2,,,,,3,2,Accompaniment experience,$151-165 + tax,Superdome
6040,Our Saviour Lutheran Church,1,3,,1,,2,,,,,4,,Hotel location,$151-165 + tax,Superdome
12024,Our Saviour Lutheran Church,3,10,,,,4,,,,,5,,Hotel location,$151-165 + tax,French Quarter
1850,Our Saviour Lutheran Church,8,8,,,2,3,,,3,,7,,Hotel price,$140-150 + tax,Superdome
10158,Our Saviour’s Lutheran Church ,2,,,,,1,,,,,3,,Accompaniment experience,$140-150 + tax,Convention Center
4996,Our Saviour's Evangelical Lutheran Church,,3,,,2,1,,,5,,,,,,
11851,Our Saviour's Lutheran Church,1,3,,,1,2,,,7,,1,1,,,
6745,Our Saviour's Lutheran Church,3,1,,,,2,,,,,2,1,,,
14094,Our Saviour's Lutheran Church,2,6,,,,2,,,,,2,2,Accompaniment experience,$151-165 + tax,French Quarter
14359,Our Saviour's Lutheran Church,3,1,,,1,1,,,,,2,2,Accompaniment experience,$151-165 + tax,Superdome
13363,Our Saviour's Lutheran Church,1,4,,,1,2,,,,,3,,Accompaniment experience,$166-185 + tax,Convention Center
12481,Our Saviour's Lutheran Church,5,5,,,1,4,,,,,3,3,Accompaniment experience,$151-165 + tax,Superdome
